,Backend 1: df8936d1303b,Backend 2: 725c77f53989,Backend 3: bf6f22afa366
1,1,4,1
2,2,5,8
3,10,33,19
4,11,98,20
5,12,99,21
6,56,100,100
7,470,57,616
8,58,1300,486
9,59,1301,1937
10,60,1302,1938
11,2179,2590,1939
12,2180,2591,1940
13,31125,10281,1941
14,31126,36397,1942
15,64416,37585,38501
16,64417,54170,95224
17,64418,286437,95225
18,371317,396425,95226
19,1242883,541461,567474
20,3212545,541462,567475
Average Number of Flips ,254367.25,95684.9,73601.65
Variance ,564390624432,34118107393,29706288654